0.650080	0.319320
0.391826	0.265108
0.378920	0.263471
0.385993	0.273476
0.392018	0.263426
0.382641	0.270228
0.378941	0.260528
0.446542	0.266189
0.394699	0.265450
0.383312	0.264963
0.382076	0.267306
0.435699	0.262548
0.382933	0.266741
0.383973	0.265495
0.385336	0.284440
0.383923	0.265422
0.381242	0.263659
0.384655	0.264116
0.423745	0.281276
0.381401	0.261928
0.383409	0.264117
0.380156	0.262576
0.395190	0.263427
0.384750	0.264318
0.385257	0.261639
0.430240	0.272835
0.416966	0.259895
0.386488	0.264602
0.394674	0.268897
0.413091	0.260757
0.383484	0.265374
0.383170	0.261475
0.383626	0.286658
0.381878	0.270087
0.386836	0.264593
0.382425	0.266228
0.441860	0.281100
0.388234	0.267016
0.384632	0.262795
0.388262	0.267971
0.385949	0.267030
0.383804	0.263378
0.381819	0.261635
0.435070	0.284591
0.384459	0.258247
0.383519	0.272519
0.383467	0.266443
0.426542	0.262389
0.380536	0.262470
0.377479	0.262592
0.383450	0.276107
0.391803	0.266190
0.379491	0.260675
0.381501	0.260929
0.463655	0.278055
0.381159	0.264569
0.383708	0.260100
0.386161	0.259738
0.405950	0.262892
0.385144	0.267303
0.384804	0.264986
0.377482	0.297895
0.385135	0.265361
0.384534	0.262332
0.384325	0.267930
0.431428	0.269329
0.391129	0.261855
0.386414	0.266115
0.380116	0.275357
0.385146	0.260802
0.380577	0.263460
0.380113	0.262673
0.428410	0.280168
0.378944	0.261863
0.393450	0.261948
0.382543	0.260420
0.435365	0.268431
0.382653	0.263826
0.381106	0.261753
0.385981	0.284076
0.383682	0.263145
0.383633	0.265437
0.382857	0.265055
0.444701	0.274823
0.378827	0.258302
0.380816	0.264056
0.379461	0.263521
0.404942	0.260202
0.382058	0.261305
0.386038	0.265667
0.395405	0.291446
0.383127	0.273042
0.391831	0.261198
0.380661	0.264361
0.424032	0.272542
0.386107	0.265433
0.383868	0.267363
0.417458	0.268175
0.378699	0.268699
0.383317	0.262736
