7.948746	83
6.271440	65
6.271440	109
7.948747	87
8.873886	92
7.469537	77
8.250359	78
6.271440	88
9.236184	107
8.784756	100
6.730959	97
6.271439	107
7.469537	100
9.588343	84
6.271439	93
6.271440	63
7.836339	84
6.271439	101
7.808724	83
6.294602	62
6.271440	85
6.271440	139
6.294602	74
7.524208	147
6.867692	75
6.271440	63
7.836342	99
6.271440	91
7.948747	93
6.271440	93
6.271439	68
6.271440	88
6.271440	72
7.948747	79
10.523202	67
6.271440	105
6.271439	86
6.271440	67
6.271440	73
7.836339	97
6.271440	94
6.271440	78
7.948747	74
9.408127	87
7.798733	91
7.875130	86
7.437791	100
6.271440	93
8.224271	93
7.036312	81
8.785517	69
6.271439	105
7.206422	70
7.469537	84
7.469537	86
6.730959	74
6.271440	60
6.867692	96
6.271439	97
7.948747	94
6.271439	105
7.948747	95
6.271440	86
6.271440	69
8.802414	87
7.437791	86
6.867692	93
6.867692	90
6.271440	82
6.271440	85
6.294602	90
7.948747	92
6.867692	75
6.271440	94
6.271440	94
6.677429	80
7.206421	63
7.206422	93
6.271440	71
6.271439	80
6.271440	55
7.358980	111
7.865790	62
7.948747	81
9.027677	97
7.948747	102
7.469536	87
6.271440	78
6.294602	63
7.836342	89
7.972496	89
6.867692	62
6.271440	89
7.948747	82
6.271440	71
7.206422	86
6.271440	94
8.784756	83
6.730958	111
7.948747	88
